"sample_ID","collect_date","Hour","depth","campaign_num","Cladocera_BiomassConcentration_ugpL_rep.mean","Copepoda_BiomassConcentration_ugpL_rep.mean","Rotifera_BiomassConcentration_ugpL_rep.mean"
"F_pel_01Jul22_midnight_schind_0.1","2022-06-30",0,"0.1",4,0.787775985875668,0.593651682294958,0.747538804536735
"F_pel_01Jul22_midnight_schind_1.0","2022-06-30",0,"1.0",4,0.784858836867159,0.904137752012828,0.418709181647919
"F_pel_01Jul22_midnight_schind_2.0","2022-06-30",0,"2.0",4,1.0362574937989,1.40782213973502,0.443948979083865
"F_pel_01Jul22_midnight_schind_3.0","2022-06-30",0,"3.0",4,0.957917087162288,2.13299724530919,0.0748406764834524
"F_pel_01Jul22_midnight_schind_4.0","2022-06-30",0,"4.0",4,0.972241594741232,1.14285957336487,0.402686429156207
"F_pel_01Jul22_midnight_schind_5.0","2022-06-30",0,"5.0",4,0.508837904325085,0.979204034469888,0.183392674129152
"F_pel_01Jul22_midnight_schind_6.0","2022-06-30",0,"6.0",4,0.450676676461864,1.07927706639187,0.324104402794202
"F_pel_01Jul22_midnight_schind_7.0","2022-06-30",0,"7.0",4,0.465067594252545,0.960701805945913,0.536579889866248
"F_pel_01Jul22_midnight_schind_8.0","2022-06-30",0,"8.0",4,0.50556403965436,1.0620518431033,0.48417596446417
"F_pel_01Jul22_midnight_schind_9.0","2022-06-30",0,"9.0",4,1.25328397445544,1.46730130461596,0.996794767414929
"F_pel_01Jul22_noon_schind_0.1","2022-07-01",12,"0.1",4,0.294763882584431,1.1159996148172,2.03943032179516
"F_pel_01Jul22_noon_schind_1.0","2022-07-01",12,"1.0",4,0.438438632556703,1.31286153562531,1.74552212044826
"F_pel_01Jul22_noon_schind_2.0","2022-07-01",12,"2.0",4,0.985482505700484,1.33195761070955,1.00390642778659
"F_pel_01Jul22_noon_schind_3.0","2022-07-01",12,"3.0",4,0.564557889872112,1.86202633051093,0.37427140598742
"F_pel_01Jul22_noon_schind_4.0","2022-07-01",12,"4.0",4,0.698249717870773,1.28615504661509,0.189167627501567
"F_pel_01Jul22_noon_schind_5.0","2022-07-01",12,"5.0",4,0.810822188389159,1.44966545087208,0.334936278195488
"F_pel_01Jul22_noon_schind_6.0","2022-07-01",12,"6.0",4,0.881491005995281,1.97237359539445,2.53041452700128
"F_pel_01Jul22_noon_schind_7.0","2022-07-01",12,"7.0",4,0.742607827023168,1.80198900181791,1.88546222505118
"F_pel_01Jul22_noon_schind_8.0","2022-07-01",12,"8.0",4,0.395486313879642,0.717655504002663,0.68336580405307
"F_pel_01Jul22_noon_schind_9.0","2022-07-01",12,"9.0",4,0.677848720557975,0.94662173201603,0.42655510637238
"F_pel_10Jun21_noon_schind_0.1","2021-06-10",12,"0.1",3,0.0289967992672902,0.799218907902219,0.241295959735542
"F_pel_10Jun21_noon_schind_1.0","2021-06-10",12,"1.0",3,0.0397047136496552,0.890943186584145,0.320100469406345
"F_pel_10Jun21_noon_schind_2.0","2021-06-10",12,"2.0",3,0.149248560236413,1.15734004909591,0.477187305243719
"F_pel_10Jun21_noon_schind_3.0","2021-06-10",12,"3.0",3,0.17180153945115,0.890316717298247,0.258885363177976
"F_pel_10Jun21_noon_schind_4.0","2021-06-10",12,"4.0",3,0.081752580360174,0.834587747907398,0.337848601235397
"F_pel_10Jun21_noon_schind_5.0","2021-06-10",12,"5.0",3,0.724590314207604,1.60021581091639,0.208251825932946
"F_pel_10Jun21_noon_schind_6.0","2021-06-10",12,"6.0",3,0.633663850157037,1.41233709682248,0.517460824325356
"F_pel_10Jun21_noon_schind_7.0","2021-06-10",12,"7.0",3,0.476177153551739,1.61422847025436,0.279641227936664
"F_pel_10Jun21_noon_schind_8.0","2021-06-10",12,"8.0",3,0.58950982450772,1.68852652819164,0.837269830265269
"F_pel_10Jun21_noon_schind_9.0","2021-06-10",12,"9.0",3,0.482852745799814,1.32680042360712,0.627229727365506
"F_pel_11Jun21_midnight_schind_0.1","2021-06-11",0,"0.1",3,0.508769742822085,1.09743816055475,0.317263164532505
"F_pel_11Jun21_midnight_schind_1.0","2021-06-11",0,"1.0",3,0.450235509149171,0.901166584208857,0.26184585378497
"F_pel_11Jun21_midnight_schind_2.0","2021-06-11",0,"2.0",3,0.483246524838165,0.854519801927835,0.532789152509466
"F_pel_11Jun21_midnight_schind_3.0","2021-06-11",0,"3.0",3,0.643315698046949,0.880729659912401,0.119570018438634
"F_pel_11Jun21_midnight_schind_4.0","2021-06-11",0,"4.0",3,0.653559278803456,1.20464599399625,0.205297949041935
"F_pel_11Jun21_midnight_schind_5.0","2021-06-11",0,"5.0",3,1.31563937243938,1.25969234910088,0.198340471588228
"F_pel_11Jun21_midnight_schind_6.0","2021-06-11",0,"6.0",3,1.53391975365895,1.24902239934764,0.255813030389065
"F_pel_11Jun21_midnight_schind_7.0","2021-06-11",0,"7.0",3,1.06255369600288,1.46078525653826,0.235788320292884
"F_pel_11Jun21_midnight_schind_8.0","2021-06-11",0,"8.0",3,1.62205834413761,1.25171661098644,0.251298355998083
"F_pel_11Jun21_midnight_schind_9.0","2021-06-11",0,"9.0",3,1.71823684321105,1.50888367807064,0.39797253094381
"F_pel_11Sep20_noon_schind_0.1","2020-09-11",12,"0.1",1,0.277099974812057,1.50239672730315,0.0318616707974924
"F_pel_11Sep20_noon_schind_1.0","2020-09-11",12,"1.0",1,0.205703096417611,1.56017219083352,0.0788574215695371
"F_pel_11Sep20_noon_schind_2.0","2020-09-11",12,"2.0",1,0.593594353308384,1.21704778114905,0.0410241036991875
"F_pel_11Sep20_noon_schind_3.0","2020-09-11",12,"3.0",1,0.893809954005856,2.45717010387749,0.117889838168829
"F_pel_11Sep20_noon_schind_4.0","2020-09-11",12,"4.0",1,0.334783746541318,1.09987760122075,0.081478600379064
"F_pel_11Sep20_noon_schind_5.0","2020-09-11",12,"5.0",1,0.444036508106627,1.42240641069555,0.0277758199746828
"F_pel_11Sep20_noon_schind_6.0","2020-09-11",12,"6.0",1,0.689124540462647,1.8706927274003,0.047109826947121
"F_pel_11Sep20_noon_schind_7.0","2020-09-11",12,"7.0",1,0.588385547066833,1.04871643503366,0.113982096515527
"F_pel_11Sep20_noon_schind_8.0","2020-09-11",12,"8.0",1,0.48154707391716,1.32252950673505,0.100871564828385
"F_pel_11Sep20_noon_schind_9.0","2020-09-11",12,"9.0",1,0.399743739931574,1.22689589541692,0.165223926249443
"F_pel_15Sep20_noon_schind_0.1","2020-09-15",12,"0.1",2,0.212678920306653,0.843225012718497,0.209846576274481
"F_pel_15Sep20_noon_schind_1.0","2020-09-15",12,"1.0",2,0.270572148002549,1.2780865285603,0.222670505904651
"F_pel_15Sep20_noon_schind_2.0","2020-09-15",12,"2.0",2,0.305228518007476,0.749732332413742,0.286913460937663
"F_pel_15Sep20_noon_schind_3.0","2020-09-15",12,"3.0",2,0.251023568432196,0.73539162422658,0.264358980838701
"F_pel_15Sep20_noon_schind_4.0","2020-09-15",12,"4.0",2,0.29402299186357,1.41962884175606,0.0799813850415513
"F_pel_15Sep20_noon_schind_5.0","2020-09-15",12,"5.0",2,0.271345109306285,1.53479282681519,0.0911404612231246
"F_pel_15Sep20_noon_schind_6.0","2020-09-15",12,"6.0",2,0.554158042505136,1.34707473532369,0.110070885716315
"F_pel_15Sep20_noon_schind_7.0","2020-09-15",12,"7.0",2,0.463859256848113,0.781140281560073,0.0716696635401986
"F_pel_15Sep20_noon_schind_8.0","2020-09-15",12,"8.0",2,0.282717872863861,0.744786575401512,0.466723600136074
"F_pel_15Sep20_noon_schind_9.0","2020-09-15",12,"9.0",2,0.394814578367942,0.782130357981545,0.120243825630558
